,id_x,ano,beneficiario,rfc,rnpa,estado_x,municipio_x,localidad_x,monto,cod_inegi_municipio_x,cod_inegi_localidad_x,id_y,tipo,nombre,fecha_registro,tipo_persona,representante_legal,estado_y,municipio_y,localidad_y,inicio,cod_inegi_localidad_y,cod_inegi_municipio_y
11,12,2011,ACUACULTORES DEL EVORA SC DE RL DE CV,AEV030731PC3,2505003042.0,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,640000,25015.0,25015001.0,18784,ACUACULTURA,ACUACULTORES DEL EVORA SC DE RL DE CV,10/03/16,MORAL,CARLOS ENRIQUE PAYAN CARRILLO,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,31/07/2003,25015001.0,25015.0
935,936,2012,"ACUACULTORES DEL EVORA, S.C. DE R.L. DE C.V.",AEV030731PC3,2505003042.0,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,430400,25015.0,25015001.0,18784,ACUACULTURA,ACUACULTORES DEL EVORA SC DE RL DE CV,10/03/16,MORAL,CARLOS ENRIQUE PAYAN CARRILLO,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,31/07/2003,25015001.0,25015.0
1727,1728,2013,ACUACULTORES DEL EVORA SC DE RL DE CV,AEV030731PC3,2505003042.0,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,419400,25015.0,25015001.0,18784,ACUACULTURA,ACUACULTORES DEL EVORA SC DE RL DE CV,10/03/16,MORAL,CARLOS ENRIQUE PAYAN CARRILLO,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,31/07/2003,25015001.0,25015.0
3963,3964,2014,ACUACULTORES DEL EVORA SC DE RL DE CV,,2505003042.0,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,25400,25015.0,25015001.0,18784,ACUACULTURA,ACUACULTORES DEL EVORA SC DE RL DE CV,10/03/16,MORAL,CARLOS ENRIQUE PAYAN CARRILLO,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,31/07/2003,25015001.0,25015.0
4683,4684,2015,ACUACULTORES DEL EVORA SC DE RL DE CV,,2505003042.0,SINALOA,SALVADOR ALVARADO,GUAMÚCHIL," 498,210.00 ",25015.0,,18784,ACUACULTURA,ACUACULTORES DEL EVORA SC DE RL DE CV,10/03/16,MORAL,CARLOS ENRIQUE PAYAN CARRILLO,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,31/07/2003,25015001.0,25015.0
13,14,2011,ACUACULTURA BIOTECNOLOGICA SA DE CV,ABS9803312K3,2602002301.0,SONORA,CAJEME,CIUDAD OBREGON,232000,26018.0,26018001.0,19811,ACUACULTURA,ACUACULTURA BIOTECNOLOGICA SA DE CV,04/02/16,MORAL,JOSE MARIA ROMERO SALIDO,SONORA,CAJEME,CIUDAD OBREGON,31/03/1998,26018001.0,26018.0
937,938,2012,"ACUACULTURA BIOTECNOLOGICA, S.P.R. DE R.L. DE C.V.",ABS9803312K3,2602002301.0,SONORA,CAJEME,CIUDAD OBREGON,182400,26018.0,26018001.0,19811,ACUACULTURA,ACUACULTURA BIOTECNOLOGICA SA DE CV,04/02/16,MORAL,JOSE MARIA ROMERO SALIDO,SONORA,CAJEME,CIUDAD OBREGON,31/03/1998,26018001.0,26018.0
1731,1732,2013,ACUACULTURA BIOTECNOLOGICA SA DE CV,ABS9803312K3,2602002301.0,SONORA,CAJEME,CIUDAD OBREGON,50560,26018.0,26018001.0,19811,ACUACULTURA,ACUACULTURA BIOTECNOLOGICA SA DE CV,04/02/16,MORAL,JOSE MARIA ROMERO SALIDO,SONORA,CAJEME,CIUDAD OBREGON,31/03/1998,26018001.0,26018.0
3940,3941,2014,ACUACULTURA BIOTECNOLOGICA SA DE CV,,2602002301.0,SONORA,CAJEME,CIUDAD OBREGON,0,26018.0,26018001.0,19811,ACUACULTURA,ACUACULTURA BIOTECNOLOGICA SA DE CV,04/02/16,MORAL,JOSE MARIA ROMERO SALIDO,SONORA,CAJEME,CIUDAD OBREGON,31/03/1998,26018001.0,26018.0
4986,4987,2015,ACUACULTURA BIOTECNOLOGICA SA DE CV,,2602002301.0,SONORA,CAJEME,CIUDAD OBREGÓN," 139,800.00 ",26018.0,,19811,ACUACULTURA,ACUACULTURA BIOTECNOLOGICA SA DE CV,04/02/16,MORAL,JOSE MARIA ROMERO SALIDO,SONORA,CAJEME,CIUDAD OBREGON,31/03/1998,26018001.0,26018.0
20,21,2011,ACUASISTEMAS INTEGRALES SA DE CV,AIN0309055H1,2501003509.0,SINALOA,CULIACAN,ELDORADO,60000,25006.0,25006341.0,10463,ACUACULTURA,ACUASISTEMAS INTEGRALES SA DE CV,18/08/11,MORAL,,SINALOA,,,18/08/2011,,
22,23,2011,ACUICOLA ALCATRAZ SA DE CV,AAL030829R93,2611001120.0,SONORA,HERMOSILLO,HERMOSILLO,680000,26030.0,26030001.0,10466,ACUACULTURA,ACUICOLA ALCATRAZ SA DE CV,05/03/16,MORAL,ROBERTO LEON DONNADIEU PARADA,SONORA,HERMOSILLO,HERMOSILLO,18/08/2011,26030001.0,26030.0
947,948,2012,"ACUICOLA ALCATRAZ, S.A. DE C.V.",AAL030829R93,2611001120.0,SONORA,HERMOSILLO,HERMOSILLO,553000,26030.0,26030001.0,10466,ACUACULTURA,ACUICOLA ALCATRAZ SA DE CV,05/03/16,MORAL,ROBERTO LEON DONNADIEU PARADA,SONORA,HERMOSILLO,HERMOSILLO,18/08/2011,26030001.0,26030.0
1744,1745,2013,"ACUICOLA ALCATRAZ, S.A. DE C.V.",AAL030829R93,2611001120.0,SONORA,HERMOSILLO,HERMOSILLO,490678,26030.0,26030001.0,10466,ACUACULTURA,ACUICOLA ALCATRAZ SA DE CV,05/03/16,MORAL,ROBERTO LEON DONNADIEU PARADA,SONORA,HERMOSILLO,HERMOSILLO,18/08/2011,26030001.0,26030.0
3929,3930,2014,ACUICOLA ALCATRAZ SA DE CV,,2611001120.0,SONORA,HERMOSILLO,HERMOSILLO,0,26030.0,26030001.0,10466,ACUACULTURA,ACUICOLA ALCATRAZ SA DE CV,05/03/16,MORAL,ROBERTO LEON DONNADIEU PARADA,SONORA,HERMOSILLO,HERMOSILLO,18/08/2011,26030001.0,26030.0
5143,5144,2015,ACUICOLA ALCATRAZ SA DE CV,,2611001120.0,SONORA,HERMOSILLO,HERMOSILLO," 442,860.00 ",26030.0,26030001.0,10466,ACUACULTURA,ACUICOLA ALCATRAZ SA DE CV,05/03/16,MORAL,ROBERTO LEON DONNADIEU PARADA,SONORA,HERMOSILLO,HERMOSILLO,18/08/2011,26030001.0,26030.0
23,24,2011,ACUICOLA BAJA MAR SA DE CV,ABM9807248A0,2507002075.0,SINALOA,AHOME,LOS MOCHIS,140000,25001.0,25001001.0,19842,ACUACULTURA,ACUICOLA BAJA MAR SA DE CV,13/01/16,MORAL,OMAR AHUMADA INDA,SINALOA,AHOME,LOS MOCHIS,24/07/1998,25001001.0,25001.0
949,950,2012,"ACUICOLA BAJAMAR, S.A. DE C.V.",ABM9807248A0,2507002075.0,SINALOA,AHOME,LOS MOCHIS,150000,25001.0,25001001.0,19842,ACUACULTURA,ACUICOLA BAJA MAR SA DE CV,13/01/16,MORAL,OMAR AHUMADA INDA,SINALOA,AHOME,LOS MOCHIS,24/07/1998,25001001.0,25001.0
1747,1748,2013,ACUICOLA BAJA MAR SA DE CV,ABM9807248A0,2507002075.0,SINALOA,AHOME,LOS MOCHIS,91800,25001.0,25001001.0,19842,ACUACULTURA,ACUICOLA BAJA MAR SA DE CV,13/01/16,MORAL,OMAR AHUMADA INDA,SINALOA,AHOME,LOS MOCHIS,24/07/1998,25001001.0,25001.0
3936,3937,2014,ACUICOLA BAJA MAR SA DE CV,,2507002075.0,SINALOA,AHOME,LOS MOCHIS,7400,25001.0,25001001.0,19842,ACUACULTURA,ACUICOLA BAJA MAR SA DE CV,13/01/16,MORAL,OMAR AHUMADA INDA,SINALOA,AHOME,LOS MOCHIS,24/07/1998,25001001.0,25001.0
4749,4750,2015,ACUICOLA BAJA MAR SA DE CV,,2507002075.0,SINALOA,AHOME,LOS MOCHIS," 101,600.00 ",25001.0,25001001.0,19842,ACUACULTURA,ACUICOLA BAJA MAR SA DE CV,13/01/16,MORAL,OMAR AHUMADA INDA,SINALOA,AHOME,LOS MOCHIS,24/07/1998,25001001.0,25001.0
24,25,2011,ACUICOLA BLUE SHRIMP SPR DE RL,ABS0804152T8,2507004683.0,SINALOA,AHOME,LOS MOCHIS,41800,25001.0,25001001.0,10468,ACUACULTURA,ACUICOLA BLUE SHRIMP SPR DE RL,18/08/11,MORAL,,SINALOA,,,18/08/2011,,
951,952,2012,"ACUICOLA BLUE SHRIMP., S.P.R. DE R.L.",ABS0804152T8,2507004683.0,SINALOA,AHOME,LOS MOCHIS,88000,25001.0,25001001.0,10468,ACUACULTURA,ACUICOLA BLUE SHRIMP SPR DE RL,18/08/11,MORAL,,SINALOA,,,18/08/2011,,
1749,1750,2013,ACUICOLA BLUE SHRIMP SPR DE RL,ABS0804152T8,2507004683.0,SINALOA,AHOME,LOS MOCHIS,88172,25001.0,25001001.0,10468,ACUACULTURA,ACUICOLA BLUE SHRIMP SPR DE RL,18/08/11,MORAL,,SINALOA,,,18/08/2011,,
3938,3939,2014,ACUICOLA BLUE SHRIMP SPR DE RL,,2507004683.0,SINALOA,AHOME,LOS MOCHIS,2250,25001.0,25001001.0,10468,ACUACULTURA,ACUICOLA BLUE SHRIMP SPR DE RL,18/08/11,MORAL,,SINALOA,,,18/08/2011,,
25,26,2011,ACUICOLA BUENA VISTA SA DE CV,ABV0402179B9,2505003026.0,SINALOA,GUASAVE,CASA BLANCA,318400,25011.0,25011085.0,18692,ACUACULTURA,ACUICOLA BUENA VISTA SA DE CV,11/03/16,MORAL,JESUS GERALDO VELAZQUEZ AYON,SINALOA,GUASAVE,CASA BLANCA,08/03/2004,25011085.0,25011.0
953,954,2012,"ACUICOLA BUENA VISTA, S.A. DE C.V.",ABV0402179B9,2505003026.0,SINALOA,GUASAVE,GUASAVE,179200,25011.0,25011001.0,18692,ACUACULTURA,ACUICOLA BUENA VISTA SA DE CV,11/03/16,MORAL,JESUS GERALDO VELAZQUEZ AYON,SINALOA,GUASAVE,CASA BLANCA,08/03/2004,25011085.0,25011.0
1753,1754,2013,ACUICOLA BUENA VISTA SA DE CV,ABV0402179B9,2505003026.0,SINALOA,GUASAVE,CASA BLANCA,203976,25011.0,25011085.0,18692,ACUACULTURA,ACUICOLA BUENA VISTA SA DE CV,11/03/16,MORAL,JESUS GERALDO VELAZQUEZ AYON,SINALOA,GUASAVE,CASA BLANCA,08/03/2004,25011085.0,25011.0
3941,3942,2014,ACUICOLA BUENA VISTA SA DE CV,,2505003026.0,SINALOA,GUASAVE,CASA BLANCA,19200,25011.0,25011085.0,18692,ACUACULTURA,ACUICOLA BUENA VISTA SA DE CV,11/03/16,MORAL,JESUS GERALDO VELAZQUEZ AYON,SINALOA,GUASAVE,CASA BLANCA,08/03/2004,25011085.0,25011.0
4682,4683,2015,ACUICOLA BUENA VISTA SA DE CV,,2505003026.0,SINALOA,GUASAVE,CASA BLANCA," 163,680.00 ",25011.0,25011085.0,18692,ACUACULTURA,ACUICOLA BUENA VISTA SA DE CV,11/03/16,MORAL,JESUS GERALDO VELAZQUEZ AYON,SINALOA,GUASAVE,CASA BLANCA,08/03/2004,25011085.0,25011.0
27,28,2011,ACUICOLA CAMARGO SA DE CV,ACA080313585,2507004675.0,SINALOA,AHOME,LOS MOCHIS,154000,25001.0,25001001.0,17652,ACUACULTURA,ACUICOLA CAMARGO SA DE CV,09/03/16,MORAL,JOSE MARIO VALDEZ CAMARGO,SINALOA,AHOME,LOS MOCHIS,13/03/2008,25001001.0,25001.0
955,956,2012,"ACUICOLA CAMARGO, S.A. DE C.V.",ACA080313585,2507004675.0,SINALOA,AHOME,LOS MOCHIS,180000,25001.0,25001001.0,17652,ACUACULTURA,ACUICOLA CAMARGO SA DE CV,09/03/16,MORAL,JOSE MARIO VALDEZ CAMARGO,SINALOA,AHOME,LOS MOCHIS,13/03/2008,25001001.0,25001.0
1755,1756,2013,ACUICOLA CAMARGO,ACA080313585,2507004675.0,SINALOA,AHOME,LOS MOCHIS,191450,25001.0,25001001.0,17652,ACUACULTURA,ACUICOLA CAMARGO SA DE CV,09/03/16,MORAL,JOSE MARIO VALDEZ CAMARGO,SINALOA,AHOME,LOS MOCHIS,13/03/2008,25001001.0,25001.0
3942,3943,2014,ACUICOLA CAMARGO SA DE CV,,2507004675.0,SINALOA,AHOME,LOS MOCHIS,0,25001.0,25001001.0,17652,ACUACULTURA,ACUICOLA CAMARGO SA DE CV,09/03/16,MORAL,JOSE MARIO VALDEZ CAMARGO,SINALOA,AHOME,LOS MOCHIS,13/03/2008,25001001.0,25001.0
4778,4779,2015,ACUICOLA CAMARGO SA DE CV,,2507004675.0,SINALOA,AHOME,LOS MOCHIS," 59,570.00 ",25001.0,25001001.0,17652,ACUACULTURA,ACUICOLA CAMARGO SA DE CV,09/03/16,MORAL,JOSE MARIO VALDEZ CAMARGO,SINALOA,AHOME,LOS MOCHIS,13/03/2008,25001001.0,25001.0
34,35,2011,ACUICOLA CUMORA SPR DE RL,ACU010611KY6,2609002221.0,SONORA,HUATABAMPO,HUATABAMPO,120000,26033.0,26033001.0,10474,ACUACULTURA,ACUICOLA CUMORA SPR DE RL,18/08/11,MORAL,,SONORA,,,18/08/2011,,
35,36,2011,ACUICOLA CUQUIS SA DE CV,ACU030602760,1803000957.0,NAYARIT,ACAPONETA,VALLE DE LA URRACA (EL CABILDO),10000,18001.0,18001105.0,10475,ACUACULTURA,ACUICOLA CUQUIS SA DE CV,18/08/11,MORAL,,NAYARIT,,,18/08/2011,,
37,38,2011,ACUICOLA DOÑA KIKA SPR DE RL DE CV,ADK0705225P7,2602007078.0,SONORA,CAJEME,CIUDAD OBREGON,240000,26018.0,26018001.0,17958,ACUACULTURA,ACUICOLA DOÑA KIKA SPR DE RL DE CV,06/05/16,MORAL,TZUGI IRAIS BELTRAN MONTAÑO,SONORA,CAJEME,CIUDAD OBREGON,01/06/2007,26018001.0,26018.0
961,962,2012,"ACUICOLA DOÑA KIKA, S.P.R. DE R.L. DE C.V.",ADK0705225P7,2602007078.0,SONORA,CAJEME,CIUDAD OBREGON,120000,26018.0,26018001.0,17958,ACUACULTURA,ACUICOLA DOÑA KIKA SPR DE RL DE CV,06/05/16,MORAL,TZUGI IRAIS BELTRAN MONTAÑO,SONORA,CAJEME,CIUDAD OBREGON,01/06/2007,26018001.0,26018.0
1765,1766,2013,ACUICOLA DOÑA KIKA SPR DE RL DE CV,ADK0705225P7,2602007078.0,SONORA,CAJEME,CIUDAD OBREGON,136000,26018.0,26018001.0,17958,ACUACULTURA,ACUICOLA DOÑA KIKA SPR DE RL DE CV,06/05/16,MORAL,TZUGI IRAIS BELTRAN MONTAÑO,SONORA,CAJEME,CIUDAD OBREGON,01/06/2007,26018001.0,26018.0
3959,3960,2014,ACUICOLA DOÑA KIKA SPR DE RL DE CV,,2602007078.0,SONORA,CAJEME,CIUDAD OBREGON,0,26018.0,26018001.0,17958,ACUACULTURA,ACUICOLA DOÑA KIKA SPR DE RL DE CV,06/05/16,MORAL,TZUGI IRAIS BELTRAN MONTAÑO,SONORA,CAJEME,CIUDAD OBREGON,01/06/2007,26018001.0,26018.0
38,39,2011,ACUICOLA EL CRUSTACEO SA DE CV,ACR000615GQ1,2509001448.0,SINALOA,NAVOLATO,LA BANDERA,80000,25018.0,25018014.0,19453,ACUACULTURA,ACUICOLA EL CRUSTACEO SA DE CV,03/02/16,MORAL,CARLOS MENDOZA NAVA,SINALOA,NAVOLATO,LA BANDERA,15/06/2000,25018014.0,25018.0
963,964,2012,"ACUICOLA EL CRUSTACEO, S.A. DE C.V.",ACR000615GQ1,2509001448.0,SINALOA,NAVOLATO,NAVOLATO,44000,25018.0,25018001.0,19453,ACUACULTURA,ACUICOLA EL CRUSTACEO SA DE CV,03/02/16,MORAL,CARLOS MENDOZA NAVA,SINALOA,NAVOLATO,LA BANDERA,15/06/2000,25018014.0,25018.0
1769,1770,2013,ACUICOLA EL CRUSTACEO SA DE CV,ACR000615GQ1,2509001448.0,SINALOA,NAVOLATO,LA BANDERA,43592,25018.0,25018014.0,19453,ACUACULTURA,ACUICOLA EL CRUSTACEO SA DE CV,03/02/16,MORAL,CARLOS MENDOZA NAVA,SINALOA,NAVOLATO,LA BANDERA,15/06/2000,25018014.0,25018.0
3951,3952,2014,ACUICOLA EL CRUSTACEO SA DE CV,,2509001448.0,SINALOA,NAVOLATO,LA BANDERA,770,25018.0,25018014.0,19453,ACUACULTURA,ACUICOLA EL CRUSTACEO SA DE CV,03/02/16,MORAL,CARLOS MENDOZA NAVA,SINALOA,NAVOLATO,LA BANDERA,15/06/2000,25018014.0,25018.0
4941,4942,2015,ACUICOLA EL CRUSTACEO SA DE CV,,2509001448.0,SINALOA,CULIACÁN,CULIACÁN ROSALES," 31,110.00 ",,,19453,ACUACULTURA,ACUICOLA EL CRUSTACEO SA DE CV,03/02/16,MORAL,CARLOS MENDOZA NAVA,SINALOA,NAVOLATO,LA BANDERA,15/06/2000,25018014.0,25018.0
43,44,2011,ACUICOLA LA LOMA SA DE CV,ALL070312NS9,2507004410.0,SINALOA,GUASAVE,GUASAVE,112000,25011.0,25011001.0,17898,ACUACULTURA,ACUICOLA LA LOMA SA DE CV,30/03/16,MORAL,HECTOR MANUEL CAMACHO LUGO,SINALOA,GUASAVE,GUASAVE,12/03/2007,25011001.0,25011.0
965,966,2012,"ACUICOLA LA LOMA, S.A. DE C.V.",ALL070312NS9,2507004410.0,SINALOA,AHOME,LOS MOCHIS,54000,25001.0,25001001.0,17898,ACUACULTURA,ACUICOLA LA LOMA SA DE CV,30/03/16,MORAL,HECTOR MANUEL CAMACHO LUGO,SINALOA,GUASAVE,GUASAVE,12/03/2007,25011001.0,25011.0
1771,1772,2013,ACUICOLA LA LOMA SA DE CV,ALL070312NS9,2507004410.0,SINALOA,GUASAVE,TAMAZULA,55976,25011.0,25011269.0,17898,ACUACULTURA,ACUICOLA LA LOMA SA DE CV,30/03/16,MORAL,HECTOR MANUEL CAMACHO LUGO,SINALOA,GUASAVE,GUASAVE,12/03/2007,25011001.0,25011.0
3970,3971,2014,ACUICOLA LA LOMA SA DE CV,,2507004410.0,SINALOA,GUASAVE,GUASAVE,16796,25011.0,25011001.0,17898,ACUACULTURA,ACUICOLA LA LOMA SA DE CV,30/03/16,MORAL,HECTOR MANUEL CAMACHO LUGO,SINALOA,GUASAVE,GUASAVE,12/03/2007,25011001.0,25011.0
4774,4775,2015,ACUICOLA LA LOMA SA DE CV,,2507004410.0,SINALOA,GUASAVE,GUASAVE," 53,400.00 ",25011.0,25011001.0,17898,ACUACULTURA,ACUICOLA LA LOMA SA DE CV,30/03/16,MORAL,HECTOR MANUEL CAMACHO LUGO,SINALOA,GUASAVE,GUASAVE,12/03/2007,25011001.0,25011.0
45,46,2011,ACUICOLA LAGO SA DE CV,ALA9906237T8,2509001380.0,SINALOA,NAVOLATO,EL LIMONCITO,792000,25018.0,25018068.0,19450,ACUACULTURA,ACUICOLA LAGO SA DE CV,08/09/15,MORAL,JORGE LARA GONZALEZ,SINALOA,NAVOLATO,NAVOLATO,15/09/2000,25018001.0,25018.0
966,967,2012,"ACUICOLA LAGO, S.A. DE C.V.",ALA9906237T8,2509001380.0,SINALOA,NAVOLATO,EL LIMONCITO,226000,25018.0,25018068.0,19450,ACUACULTURA,ACUICOLA LAGO SA DE CV,08/09/15,MORAL,JORGE LARA GONZALEZ,SINALOA,NAVOLATO,NAVOLATO,15/09/2000,25018001.0,25018.0
1772,1773,2013,ACUICOLA LAGO SA DE CV,ALA9906237T8,2509001380.0,SINALOA,NAVOLATO,AVIACION VALDEZ MONTOYA,16000,25018.0,25018406.0,19450,ACUACULTURA,ACUICOLA LAGO SA DE CV,08/09/15,MORAL,JORGE LARA GONZALEZ,SINALOA,NAVOLATO,NAVOLATO,15/09/2000,25018001.0,25018.0
1773,1774,2013,ACUICOLA LAGO SA DE CV,ALA9906237T8,2509001380.0,SINALOA,NAVOLATO,AVIACION VALDEZ MONTOYA,155900,25018.0,25018406.0,19450,ACUACULTURA,ACUICOLA LAGO SA DE CV,08/09/15,MORAL,JORGE LARA GONZALEZ,SINALOA,NAVOLATO,NAVOLATO,15/09/2000,25018001.0,25018.0
3969,3970,2014,ACUICOLA LAGO SA DE CV,,2509001380.0,SINALOA,NAVOLATO,EL LIMONCITO,1692,25018.0,25018068.0,19450,ACUACULTURA,ACUICOLA LAGO SA DE CV,08/09/15,MORAL,JORGE LARA GONZALEZ,SINALOA,NAVOLATO,NAVOLATO,15/09/2000,25018001.0,25018.0
4940,4941,2015,ACUICOLA LAGO SA DE CV,,2509001380.0,SINALOA,NAVOLATO,EL LIMONCITO," 121,200.00 ",25018.0,25018068.0,19450,ACUACULTURA,ACUICOLA LAGO SA DE CV,08/09/15,MORAL,JORGE LARA GONZALEZ,SINALOA,NAVOLATO,NAVOLATO,15/09/2000,25018001.0,25018.0
46,47,2011,ACUICOLA LAS FLORES SPR DE RI,AFP9802264Z8,2505002374.0,SINALOA,GUASAVE,LAS FLORES,260000,25011.0,25011562.0,10499,ACUACULTURA,ACUICOLA LAS FLORES SPR DE RI,18/08/11,MORAL,,SINALOA,,,18/08/2011,,
47,48,2011,ACUICOLA LOS AHUMADA SSS,AAS950829RY5,2507001341.0,SINALOA,GUASAVE,LA BRECHA,480000,25011.0,25011059.0,20299,ACUACULTURA,ACUICOLA LOS AHUMADA SSS,08/03/17,MORAL,EVERARDO AHUMADA QUINTERO,SINALOA,GUASAVE,CASA BLANCA,29/08/1995,25011085.0,25011.0
968,969,2012,"ACUICOLA LOS AHUMADA, S.S.S.",AAS950829RY5,2507001341.0,SINALOA,GUASAVE,LA BRECHA,289600,25011.0,25011059.0,20299,ACUACULTURA,ACUICOLA LOS AHUMADA SSS,08/03/17,MORAL,EVERARDO AHUMADA QUINTERO,SINALOA,GUASAVE,CASA BLANCA,29/08/1995,25011085.0,25011.0
1775,1776,2013,ACUICOLA LOS AHUMADA SSS,AAS950829RY5,2507001341.0,SINALOA,GUASAVE,CASA BLANCA,311492,25011.0,25011085.0,20299,ACUACULTURA,ACUICOLA LOS AHUMADA SSS,08/03/17,MORAL,EVERARDO AHUMADA QUINTERO,SINALOA,GUASAVE,CASA BLANCA,29/08/1995,25011085.0,25011.0
3932,3933,2014,ACUICOLA LOS AHUMADA SSS,,2507001341.0,SINALOA,GUASAVE,CASA BLANCA,19200,25011.0,25011085.0,20299,ACUACULTURA,ACUICOLA LOS AHUMADA SSS,08/03/17,MORAL,EVERARDO AHUMADA QUINTERO,SINALOA,GUASAVE,CASA BLANCA,29/08/1995,25011085.0,25011.0
4742,4743,2015,ACUICOLA LOS AHUMADA SSS,,2507001341.0,SINALOA,GUASAVE,CASA BLANCA," 269,944.00 ",25011.0,25011085.0,20299,ACUACULTURA,ACUICOLA LOS AHUMADA SSS,08/03/17,MORAL,EVERARDO AHUMADA QUINTERO,SINALOA,GUASAVE,CASA BLANCA,29/08/1995,25011085.0,25011.0
