main_ID,Ano,Beneficiario,RFC,RNPA,Estado,Municipio,Localidad,Monto
,2011,ACUICOLA CAÑAVERAL SC DE RL DE CV,ACA080624599,,SINALOA,ANGOSTURA,LA REFORMA,400000
,2011,ACUICOLA CASTRO SOSA SC DE RL DE CV,ACS061103KQ0,,SINALOA,ANGOSTURA,LA REFORMA,50000
,2011,ACUICOLA CERRO DE LA BANDERA,ACB990725UZA,,SONORA,CAJEME,CIUDAD OBREGON,120000
,2011,"ACUICOLA CLEJ, SA DE CV",ACL0010093N4,,SONORA,CAJEME,CIUDAD OBREGON,295000
,2011,"ACUICOLA COCA, SA DE CV",ABO9905132K3,,SONORA,HERMOSILLO,HERMOSILLO,1876800
,2011,ACUICOLA COPLAMAR SPR DE RI,ACO990806P95,,SONORA,CAJEME,CIUDAD OBREGON,144000
,2011,ACUICOLA CUMORA SPR DE RL,ACU010611KY6,,SONORA,HUATABAMPO,HUATABAMPO,120000
,2011,ACUICOLA CUQUIS SA DE CV,ACU030602760,,NAYARIT,ACAPONETA,VALLE DE LA URRACA (EL CABILDO),10000
,2011,"ACUICOLA DON JORGE, SA CV",ADJ990203698,,SINALOA,MAZATLAN,MAZATLAN,920000
,2011,ACUICOLA DOÑA KIKA SPR DE RL DE CV,ADK0705225P7,,SONORA,CAJEME,CIUDAD OBREGON,240000
,2011,ACUICOLA EL CRUSTACEO SA DE CV,ACR000615GQ1,,SINALOA,NAVOLATO,LA BANDERA,80000
,2011,ACUICOLA EL MANGLE,AMA960926MC4,,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,310000
,2011,ACUICOLA EL PARAJE SA DE CV,APA970701MFA,,SINALOA,ANGOSTURA,ALHUEY,140000
,2011,"ACUICOLA EL PINITO, SA DE CV",API031203FP2,,SONORA,HERMOSILLO,HERMOSILLO,192000
,2011,ACUICOLA FLORES LOPEZ SPR DE RI,AFL021104290,,SINALOA,GUASAVE,LA BRECHA,68000
,2011,ACUICOLA LA LOMA SA DE CV,ALL070312NS9,,SINALOA,GUASAVE,GUASAVE,112000
,2011,ACUÍCOLA LA PIEDREÑA S.P.R. DE R.I.,API9907252Z5,,SONORA,CAJEME,CIUDAD OBREGON,132000
,2011,ACUICOLA LAGO SA DE CV,ALA9906237T8,,SINALOA,NAVOLATO,EL LIMONCITO,792000
,2011,ACUICOLA LAS FLORES SPR DE RI,AFP9802264Z8,,SINALOA,GUASAVE,LAS FLORES,260000
,2011,ACUICOLA LOS AHUMADA SSS,AAS950829RY5,,SINALOA,GUASAVE,LA BRECHA,480000
,2011,ACUICOLA LOS ANGELES SA DE CV,AAN991215782,,SINALOA,CULIACAN,CULIACAN ROSALES,680000
,2011,ACUICOLA LOS GONZALEZ SA DE CV,AGO0002227J6,,SINALOA,GUASAVE,TAMAZULA,240000
,2011,ACUICOLA LOS TRES COMPADRES SA DE CV,ATC030408LB5,,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,210000
,2011,ACUICOLA MAR DE CORTEZ SA DE CV,AMC960823TIA,,SINALOA,SALVADOR ALVARADO,GUAMUCHIL,410000
,2011,ACUICOLA MARION SA DE CV,AMA060113UN2,,SONORA,HERMOSILLO,HERMOSILLO,660000
,2011,"ACUICOLA MAYO,S.P.R. DE R.I.",AMA990131AF7,,SINALOA,GUASAVE,LA BRECHA,160000
,2011,ACUICOLA MELANIE SA DE CV,AME0808212U0,,SINALOA,CULIACAN,CULIACAN ROSALES,400000
,2011,ACUICOLA MV SA DE CV,81680,,SINALOA,ANGOSTURA,LA REFORMA,80000
,2011,ACUICOLA OPEN SEA SA DE CV,AOS050606NI4,,SINALOA,AHOME,HIGUERA DE ZARAGOZA,84000
,2011,ACUICOLA PERLA MARINA S.A DE C.V.,APM970304N81,,SINALOA,CULIACAN,CULIACAN ROSALES,140000
,2011,ACUICOLA PLEAMAR SA DE CV,APL970127M41,,SINALOA,AHOME,LOS MOCHIS,160000
,2011,ACUICOLA PRISAMAR,APR000628C57,,SINALOA,GUASAVE,GUASAVE,176000
,2011,ACUICOLA PyP SA DE CV,APA071212N19,,SONORA,HERMOSILLO,HERMOSILLO,100000
,2011,"ACUICOLA RENACIMIENTO, S.A. DE C.V.",ARE0103271R5,,SINALOA,GUASAVE,GUASAVE,340000
,2011,"ACUICOLA RINCON DEL TIGRE, SC DE RL DE CV",ART9903117Z3,,SINALOA,GUASAVE,LA BRECHA,131600
,2011,ACUICOLA RIVERA MONTOYA,ARM050214SU2,,SINALOA,GUASAVE,LA BRECHA,360000
,2011,ACUICOLA ROCHTER SA DE CV,ARO000927CC9,,SINALOA,AHOME,LOS MOCHIS,180000
,2011,ACUICOLA RODIAZ SC DE RL DE CV,ARO100202GB7,,SINALOA,CULIACAN,CULIACAN ROSALES,48000
,2011,ACUICOLA ROMA S.P.R. DE R.L. DE C.V.,ARO080527UK6,,SINALOA,NAVOLATO,SATAYA,130000
,2011,ACUICOLA SAN BERNABE,DISC790720,,SONORA,CAJEME,CIUDAD OBREGON,60000
,2011,ACUICOLA SAN BERNABE S.P.R. DE R.I.,ACR0001199A4,,SONORA,CAJEME,CAJEME PRODUCTOS PECUARIOS,324000
,2011,ACUICOLA SANTA INES SA DE CV,ASI991002334,,SONORA,CAJEME,CIUDAD OBREGON,390000
,2011,ACUICOLA SANTA MAGDA SA DE CV,ASM040316LM5,,SONORA,CAJEME,CIUDAD OBREGON,728000
,2011,"ACUICOLA SANTA RITA, S.A. DE C.V.",AS9605246I2,,SINALOA,AHOME,LOS MOCHIS,320000
,2011,"ACUICOLA SAYRI, SA DE CV",ASA050131Q6A,,SONORA,HERMOSILLO,PUERTO ARTURO,1781000
,2011,ACUICOLA SELECTA SA DE CV,ASE001115EN2,,SONORA,HERMOSILLO,EJIDO NUEVO SAN MIGUEL,2538400
,2011,"ACUICOLA TIERRA DE CANAAN, S.A. DE C.V.",ATC0704024I1,,SINALOA,AHOME,TOPOLOBAMPO,320000
,2011,ACUICOLA TOPOLOBAMPO S.A. DE C.V,ATO010320R16,,SINALOA,AHOME,MOCHIS (EJIDO MOCHIS),200000
,2011,"ACUÍCOLA Y DE ALTURA FABIÁN GASTELUM LEYVA, S.P.R. DE R.I.",AAF000122T12,,SONORA,HUATABAMPO,HUATABAMPO,60000
,2011,ACUICULTORES UNIDOS SAN MARTIN SA DE CV,AUS0912051G8,,SINALOA,AHOME,HIGUERA DE ZARAGOZA,1402000
,2011,"AGRICOLA Y ACUILA EL SAUZ, S.A. DE C.V.",AAS991007CU0,,SINALOA,CULIACAN,CULIACAN ROSALES,210000
,2011,AGRO ACUICOLA CELESTE S.A. DE C.V.,AAC030724FK4,,SONORA,CAJEME,CIUDAD OBREGON,182000
,2011,AHUMADA QUINTERO EVERARDO,,,SINALOA,GUASAVE,CASA BLANCA,282000
,2011,AHUMADA RIVERA ERNESTO,,,SINALOA,AHOME,LOS MOCHIS,616000
,2011,ALCOCER ESTRADA JOSE HILARIO FELIPE,,,YUCATAN,DZILAM DE BRAVO,DZILAM DE BRAVO,4200
,2011,ALDAPE LUENGAS FERNANDO,,,TAMAULIPAS,TAMPICO,TAMPICO,406000
,2011,ALMA MIRELLA ACUÑA GOMEZ,AUGA610224711,,SONORA,GUAYMAS,SAN JOSE DE GUAYMAS,190000
,2011,ALMACENES CONGELADOS S.A. DE C.V.,ACO820428333,,SINALOA,MAZATLAN,MAZATLAN,712346
,2011,ALONZO MORALES JOSE DE JESUS,,,YUCATAN,PROGRESO,PROGRESO,913110
,2011,ALONZO MORALES LUIS MARTIN DE JESUS,,,YUCATAN,PROGRESO,PROGRESO,1069842
,2011,AMANECER ACUICOLA SA DE CV,AAC021204LS9,,SINALOA,ANGOSTURA,ANGOSTURA,480000
,2011,AMAYA ANGULO FRANCISCO EUGENIO,,,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,80000
,2011,AMP ACUICOLA S.P.R. DE R.L.,AAC110316FP9,,SONORA,HERMOSILLO,TASTIOTA,150000
,2011,ANA GABRIELA,NATA6809211X5,,BAJA CALIFORNIA,ENSENADA,ENSENADA,55718
,2011,ANGULO ANGULO MIGUEL ANGEL,,,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,400000
,2011,APPEDOLE BARRERA JORGE,,,TAMAULIPAS,TAMPICO,TAMPICO,1878986
,2011,AQUA INDUSTRIAS SA DE CV,AIN0207029P3,,SINALOA,CULIACAN,PONCE,300000
,2011,AQUACTIVA SA DE CV,AQU0001178I2,,SONORA,HERMOSILLO,HERMOSILLO,360000
,2011,AQUACULTIVOS DE KINO SA DE CV,AKI031111MF1,,SONORA,HERMOSILLO,HERMOSILLO,720000
,2011,"AQUACULTURA SANTA FE, S.A. DE C.V.",ASF030911CL8,,SONORA,HERMOSILLO,HERMOSILLO,350000
,2011,"AQUASOLES, SA DE CV",AQU990813T7A,,SONORA,CAJEME,CIUDAD OBREGON,1020000
,2011,AQUATOP SPR DE RL,AQU041030NN9,,SONORA,CAJEME,CIUDAD OBREGON,160000
,2011,ARELLANO ARAUJO ELEAZAR,,,SINALOA,AHOME,LOS MOCHIS,453040
,2011,ARIAS DE LA CRUZ MIGUEL,,,CAMPECHE,CARMEN,CIUDAD DEL CARMEN,453040
,2011,ARJE SA DE CV,ARJ930286B4,,BAJA CALIFORNIA,ENSENADA,ENSENADA,459846
,2011,"ARMADORA RODRIGUEZ, S.A DE C.V",ARO070928TR6,,TAMAULIPAS,TAMPICO,TAMPICO,1008280
,2011,"ARMADORA SILGIL, S.A DE C.V",ASI970510691,,TAMAULIPAS,TAMPICO,TAMPICO,749034.58
,2011,"ARMADORES INTERNACIONALES, S.A. DE C.V.",AIN911206757,,CAMPECHE,CAMPECHE,LERMA,1436080
,2011,"ARMADORES MARION, S.A DE C.V",AMA960506ID4,,TAMAULIPAS,TAMPICO,TAMPICO,543200
,2011,ARMENTA APODACA CARLOS RAMON,,,SINALOA,AHOME,TOPOLOBAMPO,453040
,2011,ASCOLANI ROMO JOSE CRISTOBAL,,,BAJA CALIFORNIA,ENSENADA,ENSENADA,34000
,2011,"ASTUR NAVIERA, S.A DE C.V",ANA980122M26,,TAMAULIPAS,TAMPICO,TAMPICO,1187400
,2011,"ATUNERA PENINSULAR, S.A. DE C.V.",APE851031P51,,SINALOA,MAZATLAN,MAZATLAN,2400000
,2011,ATUNERA PUNTA BAJA SA DE CV,APB010619U96,,SINALOA,MAZATLAN,MAZATLAN,3881000
,2011,ATUNEROS UNIDOS DE CALIFORNIA SA DE CV,PCP00030DK1,,SINALOA,MAZATLAN,MAZATLAN,3830140
,2011,AVANCE ACUICOLA SA DE CV,AAC060314AE3,,SINALOA,ANGOSTURA,ANGOSTURA,460800
,2011,AVILA MELJEN YAMEL,,,BAJA CALIFORNIA,ENSENADA,ENSENADA,434000
,2011,AVILA MERCADO RICARDO IVAN,,,SINALOA,AHOME,LOS MOCHIS,90000
,2011,AZTECA SHRIMP SA DE CV,ASH0208123L3,,SINALOA,AHOME,LOS MOCHIS,489600
,2011,"BAHIA T, S. DE R.L. DE C.V.",BTX001207T85,,SINALOA,AHOME,TOPOLOBAMPO,260000
,2011,"BAJA AQUA FARMS, S.A. DE C.V.",BAF991209B16,,BAJA CALIFORNIA,ENSENADA,EL SAUZAL DE RODRIGUEZ,5983820
,2011,BARNETCHE VALDEZ GERARDO,,,SONORA,CAJEME,CIUDAD OBREGON,744800
,2011,BARNETCHE VALDEZ HECTOR JAVIER,,,SONORA,CAJEME,CIUDAD OBREGON,756000
,2011,BARNETCHE VALDEZ LUIS ARTURO,,,SONORA,CAJEME,CIUDAD OBREGON,428800
,2011,BARRA PRIANI JOSE JULIAN,,,TAMAULIPAS,TAMPICO,TAMPICO,448000
,2011,BARRA ROEL CECILIA,,,TAMAULIPAS,TAMPICO,TAMPICO,90000
,2011,BARRA ROEL CLAUDIA,,,DISTRITO FEDERAL,MIGUEL HIDALGO,MIGUEL HIDALGO,320000
,2011,BARRAZA RUIZ ERNESTO,,,BAJA CALIFORNIA,ENSENADA,ENSENADA,210000
,2011,BAS PLAYAN ROSA MARIA DE LOS REMEDIOS,,,TAMAULIPAS,TAMPICO,TAMPICO,414396
,2011,BATURY,BAC9803312B3,,SINALOA,ANGOSTURA,ANGOSTURA,540000
,2011,"BEIFE, SPR DE RL",BSR961014316,,SINALOA,NAVOLATO,ALTATA,352000
,2011,BELLO AGUILAR JESUS,,,TAMAULIPAS,TAMPICO,TAMPICO,440774
,2011,BELLO ARELLANO CARLOS JESUS,,,TAMAULIPAS,TAMPICO,TAMPICO,984760
,2011,BELLO ARELLANO MARIA DELIA,,,TAMAULIPAS,TAMPICO,TAMPICO,220000
,2011,BICHARA KAWAS RICARDO,,,QUINTANA ROO,BENITO JUAREZ,CANCUN,988000
,2011,BIOCULTIVOS ACUATICOS S. DE RL. DE C.V.,BAC000605U41,,SINALOA,CULIACAN,CULIACAN ROSALES,160000
,2011,"BIOLOGIA MARINA, S.A. DE C.V.",BMA9806175L6,,SINALOA,CULIACAN,PENINSULA DE VILLAMOROS,184000
,2011,BLANCO ORTEGA SANTIAGO,,,TABASCO,CENTLA,FRONTERA,11580
,2011,BOVIO RIVERA ISIDORO ANGEL,,,TABASCO,CENTLA,FRONTERA,576600
,2011,BRICEÑO RIVERO JOSE EDUARDO,,,YUCATAN,PROGRESO,PROGRESO,87418
,2011,BULNES ZURITA FELIPE GUSTAVO,,,TABASCO,CENTLA,FRONTERA,538600
,2011,BUSTAMANTE ENCINAS CARLOS,,,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,226000
,2011,"C.T.S. BAIT CO, S.A. DE C.V.",CBA060426RL0,,BAJA CALIFORNIA SUR,LOS CABOS,PANAMA,576000
,2011,CABRALES DELGADO ELIAT,,,BAJA CALIFORNIA,ENSENADA,ENSENADA,490000
,2011,CAMARONERA DEL CARIBE SA DE CV,CCA920220FP5,,CAMPECHE,CAMPECHE,NINGUNO,300000
,2011,"CAMARONERA PALMASOLA, S.A DE C.V",CPA930527DP1,,TAMAULIPAS,TAMPICO,TAMPICO,1366000
,2011,CAMARONERA SAABRA SA DE CV,CSA900308,,DISTRITO FEDERAL,BENITO JUAREZ,BENITO JUAREZ,2009960
,2011,"CAMARONES DEL HUITUSSI, S.C. DE R.L. DE C.V.",CHU051207184,,SINALOA,GUASAVE,EJIDO CALLEJON DE TAMAZULA,110000
,2011,"CAMARONICULTORES DE SONORA, SPR DE RL",CSO020419SL4,,SONORA,SAN IGNACIO RIO MUERTO,BAHIA DE LOBOS,400000
,2011,CAMPECHE PRODUCE SA DE CV,CPR000306557,,CAMPECHE,CHAMPOTON,VILLAMAR,200000
,2011,CAMPOS MARRUFO MARIA CONCEPCION,,,YUCATAN,DZILAM DE BRAVO,DZILAM DE BRAVO,4800
,2011,CAMPOS ZURITA CRISTINA,,,NAYARIT,ROSAMORADA,PERICOS,16000
,2011,CARDEÑA Y ESCALANTE JOSE DE LOS SANTOS,,,YUCATAN,PROGRESO,PROGRESO,47000
,2011,CARRANDI GAMBOA FRANCISCO,,,TABASCO,CENTLA,FRONTERA,111440
,2011,CARREON HIGUERA ROSA MARIA,,,SONORA,GUAYMAS,HEROICA GUAYMAS,350000
,2011,CARRILLO AGUILERA MARCO ANTONIO,,,TAMAULIPAS,TAMPICO,TAMPICO,2267920
,2011,CARRILLO Y COVARRUBIAS SALVADOR,,,TAMAULIPAS,TAMPICO,TAMPICO,492000
,2011,CASTRO RAMIREZ EDUARDO OCTAVIO,,,SINALOA,CULIACAN,CULIACAN ROSALES,180000
,2011,CEBALLOS FUENTES LAUREANO JESUS,,,CAMPECHE,CAMPECHE,SAN FRANCISCO DE CAMPECHE,919960
,2011,CEJA GARAY TITO,,,NAYARIT,ROSAMORADA,PERICOS,28000
,2011,CENTRO REPRODICTOR DE TILAPIA CHUUIRA SC DE RL DE CV,CRT070711BT8,,SINALOA,CULIACAN,LA CRUZ DE ELDORADO (CRUZ DE NAVITO),70000
,2011,CERDA ORTIZ YOLANDA,,,SINALOA,AHOME,AHOME,632100
,2011,CERDA TORRES FRANCISCO,,,SINALOA,CULIACAN,LA CRUZ DE ELDORADO (CRUZ DE NAVITO),90000
,2011,CERVANTES LOPEZ GILBERTO,,,SINALOA,GUASAVE,EL CARACOL,299200
,2011,CERVANTES VAZQUEZ PEDRO,,,BAJA CALIFORNIA,ENSENADA,ENSENADA,55162
,2011,CERVANTES ZUÑIGA DALIA,,,SONORA,GUAYMAS,HEROICA GUAYMAS,964088
,2011,CESAR BERBARDO ARELLANES ,AECE4910239U7,,SINALOA,CULIACAN,CULIACAN ROSALES,40000
,2011,CIP CAMARONERA E INDUSTRIAS DE PEÑASCO SA DE CV,CCE080528GX6,,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,3153560
,2011,COMERCIALIZADORA DE MARISCOS MAZTAM S.A. C.V.,CMM0704242D7,,SINALOA,MAZATLAN,MAZATLAN,422688
,2011,"COMERCIALIZADORA ORCI, S.A. DE C.V.",COR970204L6A,,OAXACA,SALINA CRUZ,SALINA CRUZ,205100
,2011,COMERCILIZACION Y CAPTURA HERMANOS RUIZ GIL SA DE CV,CCH9412288N6,,CAMPECHE,CARMEN,NINGUNO,1413040
,2011,COMEXTUN SA DE CV,COM971028BU7,,SINALOA,MAZATLAN,MAZATLAN,7858838
,2011,"COMO VA LA PESCA, S.A DE C.V",CVP961213AX7,,SINALOA,MAZATLAN,MAZATLAN,484562
,2011,COMPAÑIA ATUNERA SANTA CLARA SA DE CV,ASC800204RY4,,SINALOA,MAZATLAN,MAZATLAN,2786870
,2011,"COMPAÑIA PESQUERA MEXICANA, S.A. DE C.V.",PME000720PYO,,VERACRUZ DE IGNACIO DE LA LLAVE,BOCA DEL RIO,BOCA DEL RIO,453040
,2011,COMPANIA PESQUERA MZT SA DE CV,82139,,SINALOA,MAZATLAN,MAZATLAN,329600
,2011,COMPAÑIA PESQUERA SAN BENEDICTO SA DE CV,PSB810120460,,BAJA CALIFORNIA,ENSENADA,ENSENADA,634000
,2011,"CONGELADORA ARROYO, SA DE CV",CAR980226AG8,,YUCATAN,TELCHAC PUERTO,TELCHAC PUERTO,6466
,2011,"CONGELADORA Y EXPORTADORA KARIKE, S.A. DE C.V.",CEK070818Q92,,SINALOA,MAZATLAN,MAZATLAN,574100
,2011,"CONSORCIO PESQUERO DEL GOLFO, S.A. DE C.V.",CPG030422VX0,,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,COATZACOALCOS,2725480
,2011,"COOP. PESQ. BAHIA PUERTO VIEJO, S.C DE R.L",PBP9804281F1,,SINALOA,MAZATLAN,MAZATLAN,414120
,2011,COOPERATIVA DE PRODUCCION PESQUERA BIENES Y SERVICIOS JAIVEROS DE LA LAGUNA SCL DE CV,PPB9608121R3,,CAMPECHE,CARMEN,CIUDAD DEL CARMEN,1063468
,2011,"COORDINADORA DE PRODUCTOS MARINOS, SA DE CV",CPM030213PQ4,,YUCATAN,MERIDA,MERIDA,46200
,2011,"COORPORATIVO ATUNERO SCORPIO, S.A. DE C.V.",CAS030729HRA,,VERACRUZ DE IGNACIO DE LA LLAVE,TUXPAN,TUXPAM DE RODRIGUEZ CANO,834144
,2011,CORPORACION PESQUERA CAMPECHANA SA DE CV,CPC9009184E0,,CAMPECHE,CAMPECHE,LERMA,906080
,2011,CORRALES DIAZ JESUS MANUEL,,,SINALOA,AHOME,TOPOLOBAMPO,398040
,2011,CORTES GONGORA JOSE ISABEL,,,YUCATAN,PROGRESO,PROGRESO,36000
,2011,CORTES RODRIGUEZ CESAR AUGUSTO,,,YUCATAN,PROGRESO,PROGRESO,112000
,2011,CORTES RODRIGUEZ ERNILDO ORLANDO,,,YUCATAN,PROGRESO,PROGRESO,55000
,2011,CORTES RODRIGUEZ JOSE ISABEL,,,YUCATAN,PROGRESO,PROGRESO,84000
,2011,CORTES RODRIGUEZ LUIS ALBERTO,,,YUCATAN,PROGRESO,PROGRESO,56000
,2011,CORTES Y GONGORA MANUEL JESUS,,,YUCATAN,PROGRESO,PROGRESO,6000
,2011,COUOH GUTIERREZ EDUARDO,,,TAMAULIPAS,TAMPICO,TAMPICO,545300
,2011,CRINUDA Y SARDINA SA DE CV,CSA730912CX7,,BAJA CALIFORNIA,ENSENADA,ENSENADA,480000
,2011,CRUSTACEO DE ORO SPR DE RL,COR991223311,,SONORA,CAJEME,CIUDAD OBREGON,616000
,2011,CRUSTACEOS DEL CASTILLO SA DE CV ,CCA930429996,,SINALOA,MAZATLAN,MAZATLAN,160000
,2011,"CRUSTACEOS Y MARISCOS DEL GOLFO DE TEHUANTEPEC, S.A. DE C.V.",CMG030131NC8,,OAXACA,SALINA CRUZ,SALINA CRUZ,160000
,2011,CRUSTAMAR SC DE RL,CRL990420EN1,,SINALOA,ELOTA,LA CRUZ,50000
,2011,CRUZ  CARMEN LETICIA,,,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,248000
,2011,CRUZ GARCIA GERARDO,,,VERACRUZ DE IGNACIO DE LA LLAVE,ALVARADO,ALVARADO,906080
,2011,CRUZ SANCHEZ JOSE FRANCISCO,,,CAMPECHE,CAMPECHE,SAN FRANCISCO DE CAMPECHE,24000
,2011,CURIEL SUENAGA FERNANDO,,,BAJA CALIFORNIA,ENSENADA,ENSENADA,24000
,2011,CUTZ CANUL TEODOCIO,,,YUCATAN,DZILAM GONZALEZ,DZILAM GONZALEZ,12000
,2011,DC ACUICOLA SA DE CV,DAC0808267T6,,SONORA,CAJEME,CIUDAD OBREGON,272000
,2011,DE CIMA DWORAK LORENZO,,,SONORA,GUAYMAS,HEROICA GUAYMAS,972000
,2011,DE LA VARA ROBLES MOISES,,,CAMPECHE,CAMPECHE,SAN FRANCISCO DE CAMPECHE,464800
,2011,DE POO GONZALEZ ALBERTO EMILIO,,,TAMAULIPAS,TAMPICO,TAMPICO,810000
,2011,DENEBOLA SA DE CV,DEN920827JJA,,BAJA CALIFORNIA,ENSENADA,ENSENADA,328000
,2011,DERAT ROCHA JOSE LORENZO,,,SINALOA,CULIACAN,CULIACAN ROSALES,56000
,2011,"DESARROLLO 20 DE OCTUBRE, SC DE RL.",DVO031028938,,SINALOA,CULIACAN,CULIACAN ROSALES,80000
,2011,DESARROLLO ACUICOLA ALTAMIRA SC DE RL DE CV,DAA070929AA3,,SINALOA,CULIACAN,CULIACAN ROSALES,220000
,2011,DESARROLLO ACUICOLA ASTORGA SA DE CV,DAA970228SS5,,SINALOA,CULIACAN,CULIACAN ROSALES,360000
,2011,DESARROLLO ACUICOLA BOJORQUEZ SA DE CV,DAB000925DY6,,SINALOA,ANGOSTURA,BATURY,520000
,2011,DIATOMEA NEGRA SPR DE RL,DNE0610102R3,,NAYARIT,ACAPONETA,VALLE DE LA URRACA (EL CABILDO),40000
,2011,DIAZ VEGA SAUL GABRIEL,,,SINALOA,AHOME,TOPOLOBAMPO,384000
,2011,DIB TREJO YUSEF ANSELMO,,,YUCATAN,PROGRESO,PROGRESO,130000
,2011,DIOS Y HOMBRE SA DE CV,DHO971205V31,,SINALOA,MAZATLAN,MAZATLAN,893642
,2011,DISTRIBUIDORA DE MARISCOS DEL SUR S.A. DE C.V.,DMS740314UCA,,CHIAPAS,TAPACHULA,PUERTO MADERO (SAN BENITO),435960
,2011,DOMINGUEZ VERGARA JUAN,,,YUCATAN,PROGRESO,PROGRESO,48000
,2011,DORADO DEL GOLFO S.A. DE C.V.,DGO9808272GA,,VERACRUZ DE IGNACIO DE LA LLAVE,TUXPAN,TUXPAM DE RODRIGUEZ CANO,645725.8
,2011,DOS CORONAS Y CUATRO BANDERAS SA DE CV,DCC971113UX4,,SINALOA,MAZATLAN,MAZATLAN,874800
,2011,DUARTE SANCHEZ MIGUEL BERNABE,,,YUCATAN,PROGRESO,PROGRESO,67108
,2011,ECHAVARRIA GAXIOLA JORGE ORLANDO,,,SINALOA,CULIACAN,#SIN REGISTRO,148786
,2011,ECOCAMPOS ACUICOLAS S.C. DE R.L. DE C.V.,EAC060301UW3,,SINALOA,AHOME,LOS MOCHIS,200000
